Date,Year,Aircraft,Crash location,Total fatalities,Primary Weather,Matched Keywords,Circumstances
1918-06-08,1918,Handley Page V/1500,Cricklewood London Metropolis,5,Storm/Wind,wind,"Assembled at Cricklewood Airfield in May 1918, the aircraft departed Cricklewood for its 13th test flight, carrying six crew members. Shortly after takeoff, while climbing to a height of about 700-800 feet, all four engines stopped. The pilot elected to return for an emergency landing when the aircraft stalled and crashed in a field located in front of 21 Garrick Avenue in Golders Green, bursting into flames. Colonel Ogilvie, who was seating in the tail gunner position at the back of the plane, survived, while all five other occupants were killed. Crew: Cpt Vernon Earl George Busby, pilot, † Mr. Bertram G. Cooper, † Mr. R. P. Cooper, † Mr. W. H. Hathaway, † Mr. J. W. Windebank, † Colonel Ogilvie."
1918-06-11,1918,Avro 504,Abukir (Abu Qir) Alexandria,1,Rain,rain,"The single engine aircraft was completing a local training flight when it stalled and crashed near Abukir. A crew member was killed and the second was injured. Crew: 2nd Lt G. E. Satterthwaite, † 2nd Lt J. Acheson."
1918-07-14,1918,Fairey III,Usworth AFB (RAF Hylton) Tyne and Wear,1,Rain,rain,"The pilot departed Isle of Grain on a delivery flight to Glasgow-Renfrew Airport. On approach to RAF Usworth (RAF Hylton), he elected to make a go-around when the aircraft lost height and crashed. The aircraft was destroyed and the pilot, Captain Arthur Leslie Simms, was killed."
1918-07-18,1918,De Havilland DH.6,Seaton Carew AFB Durham,2,Rain,rain,"The crew was completing a local training flight at RAF Seaton Carew when the aircraft entered a spin and crashed in a field, bursting into flames. Both occupants were killed. Crew: Cpt Charles David Danby, pilot, 1st Class E. A. Bannister, mechanic."
1918-08-26,1918,Blackburn R.T.1 Kangaroo,Seaton Carew AFB Durham,0,Rain,"rain, visibility","On final approach in bad visibility, aircraft was too low. It struck the ground short of runway and crashed. Both occupants were injured. Crew was performing a training flight on behalf of the 246th Squadron."
1918-09-13,1918,De Havilland DH.9,United Kingdom All United Kingdom,0,Fog/Cloud,visibility,"The pilot tried to return to his base but due to low visibility by night, he lost his orientation. He elected to make an emergency landing in an open field but the aircraft hit a tree and crashed. The pilot was injured."
1918-10-06,1918,Avro 504,Castle Bromwich West Midlands,0,Rain,rain,"The pilot, sole on board, was completing a local training flight at Castle Bromwich Arport. While taking off, the engine failed, causing the aircraft to stall and crash. The pilot 2nd Lt Ormand Hilton Curry was slightly injured and the aircraft was destroyed."
1918-11-12,1918,De Havilland DH.4,Everman-Barron Field Texas,1,Rain,rain,"The crew was completing a training mission. At an altitude of about 4,000 feet, the aircraft entered a spin and crashed in an open field near Everman-Barron Field Airport. A crew was killed and the second occupants was injured. The aircraft was destroyed."
1918-12-21,1918,Avro 504,Bicester AFB Oxfordshire,0,Rain,"rain, ice","The crew was performing a local training flight at RAF Bicester. While completing a turn, the crew lost control of the airplane that stalled and crashed. Both pilots were injured and the airplane was damaged beyond repair. Crew: Lt L. J. Mooney, Flt Cadet B. B. Abrahams."
1919-01-16,1919,Handley Page V/1500,Sewardstone Essex,0,Fog/Cloud,fog,"On January 10, en route to Cricklewood in foggy conditions, the crew encountered engine problems due to air in the fuel line and attempted an emergency landing. The aircraft landed in an open field located in Thompson's Wood near Sewardstone, Essex. All five occupants were uninjured and the aircraft suffered minor damages. Nevertheless, it was repaired on site and it was decided to take off six days later to continue to Cricklewood. Upon takeoff from a soft ground, the twin engine bomber failed to get airborne and crashed into the hedge lining the field. All five occupants were injured and the aircraft was destroyed."
1919-03-18,1919,Handley Page H.P.12,Castle Bromwich West Midlands,0,Storm/Wind,wind,"The twin engine airplane was returning to Castle Bromwich following an aerial photography mission. Upon landing, the pilot encountered strong crosswinds when the aircraft slipped into the ground, crashed and came to rest with its nose stuck in the ground. All five occupants evacuated safely while the aircraft was damaged beyond repair."
1919-03-19,1919,De Havilland DH.4,Totenville New York,0,Storm/Wind,storm,Crashed in stormy weather. Pilot fate unknown.
1919-04-21,1919,Caudron C.23,Saint-Rambert-d’Albon Drôme,2,Storm/Wind,wind,"The crew was performing the first postal flight between Paris and Rome, Italy. The aircraft departed Villacoublay Airport at 0600LT. While overflying Drôme, the crew encountered strong winds from the north and one of the engines seems to have problems. The crew elected to make an emergency landing when the aircraft crashed in an open field located in Coinaud, near Saint-Rambert-d’Albon. Both occupants were killed. Crew: Jules Védrines, pilot Marcel Guillain, navigator."
1919-04-22,1919,Handley Page H.P.12,Andover Hampshire,5,Rain,rain,"The twin engine airplane was engaged in a night training flight over the British Isles. While taking off by night from Andover Airfield, the aircraft encountered difficulties and crashed on a building, bursting into flames. Two passengers were seriously injured while five other occupants were killed. Crew: Maj Thomas Archibald Batchelor, † Flt Lt Reginald Arthur Walter Adkins, † Lt Arthur Barlow Whiteside, † Flt Sgt Horace Henry Heales, † Cpl Edgar George Ward, † Lt Edward Albert Westall, Flt Sgt Herbert William Smith."
1919-05-01,1919,De Havilland DH.9,Portsdown Hill Hampshire,1,Fog/Cloud,"fog, visibility","The aircraft departed Hendon on a night mail flight to Bournemouth, carrying one pilot and a load of newspapers. While descending to Portsmouth, the pilot encountered low visibility due to thick fog when the airpane impacted the top of a hill and crashed in Portsdown Hill, north of Portsmouth. The pilot, Captain Howard J. Saint, sole on board, was killed."
1919-05-17,1919,Handley Page H.P.12,Rome-Centocelle Lazio,2,Fog/Cloud,visibility,"The aircraft departed London on a flight to Cairo, carrying four crew members. In Paris, one passenger, Colonel Thomas Edward Lawrence (awa Lawrence of Arabia) embarked to fly to Cairo after taking part to the 1919 Peace Conference in Paris. While approaching Rome-Centocelle Airport at dusk, the pilot encountered limited visibility and attempted a go-around procedure when the aircraft clipped a tree and crashed upside down. Both pilots were killed and three other occupants were injured. Crew: 2nd Lt Frederick George Prince, pilot, † 2nd Lt Sydney Spratt, pilot, † Aircraftman F. J. Daw +1. Passenger: Colonel Thomas Edward Lawrence."
1919-05-24,1919,De Havilland DH.6,Aldeburgh Suffolk,2,Rain,rain,"The crew was engaged in a local training flight at RAF Aldeburgh. At a height of about 300 feet, the single engine airplane collided with a second RAF DH.6 registered C6861 and also carrying two pilots. Both aircraft dove into the ground and crashed near the airfield. Both pilots on board C7829 were killed while both pilots on board C6861 were seriously injured. One of them died two days later. Crew (1st MOS): Lt Cyril Victor Clarence Wright, Lt Edward William Sydney Jacobi."
1919-05-24,1919,De Havilland DH.6,Aldeburgh Suffolk,1,Rain,rain,"The crew was engaged in a local training flight at RAF Aldeburgh. At a height of about 300 feet, the single engine airplane collided with a second RAF DH.6 registered C7829 and also carrying two pilots. Both aircraft dove into the ground and crashed near the airfield. Both pilots on board C7829 were killed while both pilots on board C6861 were seriously injured. One of them died two days later. Crew (1st MOS): Lt A. G. Wyatt, † Sgt L. D. Adock."
1919-06-29,1919,Blackburn R.T.1 Kangaroo,Hendon Middlesex,0,Rain,rain,"The crew was completing a local training flight. Upon takeoff, the aircraft crashed and came to rest. All three occupants were injured and the aircraft was damaged beyond repair."
1919-07-15,1919,De Havilland DH.4,Clearfield Pennsylvania,0,Storm/Wind,storm,"While cruising in a violent storm, the pilot lost control of the airplane that crashed into ground. Crew fate unknown."
1919-07-18,1919,De Havilland DH.10 Amiens,Hendon Middlesex,3,Rain,rain,"Crew was engaged in a training mission. Shortly after takeoff, while climbing to a height of 150 feet, aircraft dove into the ground. All three crew were killed. Crew: Captain Richard Claude Cain, pilot Corporal J. Gammie, 1st Aircraftsman H. T. Griffiths."
1919-07-19,1919,De Havilland DH.4,Bellefonte Pennsylvania,1,Rain,"rain, fog, visibility","Shortly after takeoff from Bellefonte Airport, PA, the pilot encountered poor visibility due to thick fog. While flying in the Dicks Run Valley located north of the airfield, the aircraft impacted hilly terrain. The pilot was killed."
1919-07-19,1919,De Havilland DH.4,College Park Maryland,0,Rain,rain,"The pilot, sole on board, was completing a local training flight at College Park Airport. While flying at low height in the vicinity of the airfield, the engine failed. The pilot attempted to return for an emergency landing when, during the last turn, the aircraft stalled and crashed. The pilot was injured and the aircraft was destroyed."
1919-07-21,1919,De Havilland DH.4,Hellertown Pennsylvania,0,Fog/Cloud,cloud,"In poor weather conditions, the pilot was coming through clouds for bearings when the aircraft crashed into ground. Crew fate unknown."
1919-08-02,1919,Caproni Ca.48,Verona-Villafranca (Valerio Catullo) Veneto,14,Snow/Ice,ice,"The aircraft departed Milan-Taliedo Airport at 0730LT on an uneventful flight to Venice-Marco Polo Airport where it landed at 0922LT. After spending all day in Venice, the aircraft took off around 1700LT for its back trip to Milan. While cruising at a height of 3,000 feet in the vicinity of Verona Airport, the airplane went out of control and crashed in a field. All 14 occupants were killed, which was considered as the worst air disaster at that time. Authorities confirmed that among the 12 passengers were five Italians journalists and seven engineers of the Italian aeroplane company Caproni. Crew: Lt Luigi Ridolfi, pilot Lt Marco Resnati, pilot. It is believed that the total number of persons on board was 14 but other sources wrote later that the total of death was 16 or 17. This was not confirmed either. Eye-witnesses said something went wrong with the wings which appeared to flutter and then to collapse. Several of the passengers jumped, but everyone on board was killed."
